array_index,u_k_lambda,v_k_lambda
0,-0.053251,0.005427
0,-0.053254,0.005397
0,-0.053257,0.005366
0,-0.053260,0.005335
0,-0.053263,0.005305
0,-0.053266,0.005274
0,-0.053269,0.005243
0,-0.053272,0.005213
0,-0.053275,0.005182
0,-0.053278,0.005151
0,-0.053281,0.005121
0,-0.053283,0.005090
0,-0.053286,0.005059
0,-0.053289,0.005029
0,-0.053292,0.004998
0,-0.053294,0.004967
0,-0.053297,0.004936
0,-0.060041,0.021724
0,-0.060054,0.021689
0,-0.060067,0.021655
0,-0.060079,0.021620
0,-0.060092,0.021585
0,-0.060105,0.021551
0,-0.060117,0.021516
0,-0.060130,0.021482
0,-0.060142,0.021447
0,-0.060155,0.021412
0,-0.060167,0.021378
0,-0.060180,0.021343
0,-0.060192,0.021308
0,-0.060205,0.021274
0,-0.060217,0.021239
0,-0.060229,0.021204
0,-0.060242,0.021170
0,-0.060254,0.021135
0,-0.060266,0.021100
0,-0.060278,0.021066
0,-0.060291,0.021031
0,-0.060303,0.020996
0,-0.060315,0.020961
0,-0.060327,0.020927
0,-0.060339,0.020892
0,-0.060351,0.020857
0,-0.060363,0.020823
0,-0.060375,0.020788
0,-0.060387,0.020753
0,-0.060399,0.020718
0,-0.060411,0.020683
0,-0.060422,0.020649
0,-0.060434,0.020614
0,-0.060446,0.020579
0,-0.060458,0.020544
0,-0.060469,0.020509
0,-0.060481,0.020475
0,-0.060493,0.020440
0,-0.060504,0.020405
0,-0.060516,0.020370
0,-0.060527,0.020335
0,-0.060539,0.020300
0,-0.060550,0.020266
0,-0.060562,0.020231
0,0.006623,0.064487
0,0.006586,0.064491
0,0.006549,0.064495
0,0.006512,0.064499
0,0.006474,0.064502
0,0.006437,0.064506
0,0.006400,0.064510
0,0.006363,0.064513
0,0.006326,0.064517
0,0.006288,0.064521
0,0.006251,0.064524
0,0.006214,0.064528
0,0.006177,0.064532
0,0.006140,0.064535
0,0.006102,0.064539
0,0.006065,0.064542
0,0.006028,0.064546
0,0.005991,0.064549
0,0.005953,0.064552
0,0.005916,0.064556
0,0.005879,0.064559
0,0.005842,0.064563
0,0.005804,0.064566
0,0.005767,0.064569
0,0.005730,0.064573
0,0.005693,0.064576
0,0.005655,0.064579
0,0.005618,0.064582
0,0.005581,0.064586
0,0.005544,0.064589
0,0.005506,0.064592
0,0.005469,0.064595
0,0.005432,0.064598
0,0.005394,0.064601
0,0.005357,0.064605
0,0.005320,0.064608
0,0.005283,0.064611
0,0.005245,0.064614
0,0.005208,0.064617
0,0.005171,0.064620
0,0.005133,0.064623
0,0.005096,0.064626
0,0.005059,0.064629
0,0.005021,0.064631
0,-0.021202,-0.013598
0,-0.021195,-0.013611
0,-0.021187,-0.013623
0,-0.021179,-0.013635
0,-0.021171,-0.013647
0,-0.021163,-0.013659
0,-0.021156,-0.013672
0,-0.021148,-0.013684
0,-0.021140,-0.013696
0,-0.021132,-0.013708
0,-0.021124,-0.013720
0,-0.021116,-0.013732
0,-0.021108,-0.013745
0,-0.021101,-0.013757
0,-0.021093,-0.013769
0,-0.021085,-0.013781
0,-0.021077,-0.013793
0,-0.021069,-0.013805
0,-0.021061,-0.013817
0,-0.021053,-0.013830
0,-0.021045,-0.013842
0,-0.021037,-0.013854
0,-0.021029,-0.013866
0,-0.021021,-0.013878
0,-0.021013,-0.013890
0,-0.021005,-0.013902
0,-0.020997,-0.013914
0,-0.020989,-0.013926
0,-0.020981,-0.013938
0,-0.020973,-0.013951
0,-0.020965,-0.013963
0,-0.020957,-0.013975
0,-0.020948,-0.013987
0,-0.020940,-0.013999
0,-0.020932,-0.014011
0,-0.020924,-0.014023
0,-0.020916,-0.014035
0,-0.020908,-0.014047
0,-0.020900,-0.014059
0,-0.020891,-0.014071
0,-0.020883,-0.014083
0,-0.020875,-0.014095
0,-0.020867,-0.014107
