array_index,u_k_lambda,v_k_lambda
0,-0.000627,0.004216
0,-0.000630,0.004216
0,-0.000632,0.004216
0,-0.000635,0.004215
0,-0.000637,0.004215
0,-0.000640,0.004215
0,-0.000642,0.004214
0,-0.000644,0.004214
0,-0.000647,0.004213
0,-0.000649,0.004213
0,-0.000652,0.004213
0,-0.000654,0.004212
0,-0.000657,0.004212
0,-0.000659,0.004212
0,-0.000662,0.004211
0,-0.000664,0.004211
0,-0.000666,0.004210
0,-0.000669,0.004210
0,-0.000671,0.004210
0,-0.000674,0.004209
0,-0.000676,0.004209
0,-0.000679,0.004208
0,-0.000681,0.004208
0,-0.000683,0.004208
0,-0.000686,0.004207
0,-0.000688,0.004207
0,-0.000691,0.004206
0,-0.000693,0.004206
0,-0.000695,0.004206
0,-0.000698,0.004205
0,-0.000700,0.004205
0,-0.000703,0.004204
0,-0.000705,0.004204
0,-0.000708,0.004204
0,-0.000710,0.004203
0,-0.000712,0.004203
0,-0.000715,0.004202
0,-0.000717,0.004202
0,-0.000720,0.004202
0,-0.000722,0.004201
0,0.001757,0.001525
0,0.001756,0.001526
0,0.001755,0.001527
0,0.001754,0.001528
0,0.001753,0.001529
0,0.001753,0.001530
0,0.001752,0.001531
0,0.001751,0.001532
0,0.001750,0.001533
0,0.001749,0.001534
0,0.001748,0.001535
0,0.001747,0.001536
0,0.001746,0.001537
0,0.001746,0.001538
0,0.001745,0.001539
0,0.001744,0.001540
0,0.001743,0.001541
0,0.001742,0.001542
0,0.001741,0.001543
0,0.001740,0.001544
0,0.001739,0.001546
0,0.001738,0.001547
0,0.001738,0.001548
0,0.001737,0.001549
0,0.001736,0.001550
0,0.001735,0.001551
0,0.001734,0.001552
0,0.001733,0.001552
0,0.001732,0.001553
0,0.001731,0.001554
0,0.001730,0.001555
0,0.001729,0.001556
0,0.001729,0.001557
0,0.001728,0.001558
0,0.001727,0.001559
0,0.001726,0.001560
0,0.001725,0.001561
0,0.001724,0.001562
0,0.001723,0.001563
0,0.001722,0.001564
0,0.001721,0.001565
0,0.001720,0.001566
0,0.001720,0.001567
0,0.001719,0.001568
0,-0.002416,0.001932
0,-0.002417,0.001930
0,-0.002418,0.001929
0,-0.002419,0.001928
0,-0.002421,0.001926
0,-0.002422,0.001925
0,-0.002423,0.001923
0,-0.002424,0.001922
0,-0.002425,0.001921
0,-0.002426,0.001919
0,-0.002427,0.001918
0,-0.002428,0.001916
0,-0.002429,0.001915
0,-0.002431,0.001914
0,-0.002432,0.001912
0,-0.002433,0.001911
0,-0.002434,0.001909
0,-0.002435,0.001908
0,-0.002436,0.001907
0,-0.002437,0.001905
0,-0.002438,0.001904
0,-0.002439,0.001902
0,-0.002440,0.001901
0,-0.002442,0.001900
0,-0.002443,0.001898
0,-0.002444,0.001897
0,-0.002445,0.001895
0,-0.002446,0.001894
0,-0.002447,0.001893
0,-0.002448,0.001891
0,-0.002449,0.001890
0,-0.002450,0.001888
0,-0.002451,0.001887
0,-0.002452,0.001885
0,-0.002454,0.001884
0,-0.002455,0.001883
0,-0.002456,0.001881
0,-0.002457,0.001880
0,-0.002458,0.001878
0,-0.002459,0.001877
0,-0.002460,0.001876
0,-0.002461,0.001874
0,-0.002462,0.001873
0,-0.002463,0.001871
0,-0.000517,0.003188
0,-0.000519,0.003188
0,-0.000521,0.003187
0,-0.000523,0.003187
0,-0.000525,0.003187
0,-0.000527,0.003186
0,-0.000528,0.003186
0,-0.000530,0.003186
0,-0.000532,0.003185
0,-0.000534,0.003185
0,-0.000536,0.003185
0,-0.000538,0.003184
0,-0.000539,0.003184
0,-0.000541,0.003184
0,-0.000543,0.003184
0,-0.000545,0.003183
0,-0.000547,0.003183
0,-0.000549,0.003183
0,-0.000550,0.003182
0,-0.000552,0.003182
0,-0.000554,0.003182
0,-0.000556,0.003181
0,-0.000558,0.003181
0,-0.000560,0.003181
0,-0.000561,0.003180
0,-0.000563,0.003180
0,-0.000565,0.003180
0,-0.000567,0.003179
0,-0.000569,0.003179
0,-0.000571,0.003179
0,-0.000572,0.003178
0,-0.000574,0.003178
0,-0.000576,0.003178
0,-0.000578,0.003177
0,-0.000580,0.003177
0,-0.000582,0.003177
0,-0.000583,0.003176
0,-0.000585,0.003176
0,-0.000587,0.003176
0,-0.000589,0.003175
0,-0.000591,0.003175
0,-0.000593,0.003175
0,-0.000594,0.003174
0,-0.000596,0.003174
0,0.002940,0.002917
0,0.002939,0.002918
0,0.002937,0.002920
0,0.002935,0.002922
0,0.002934,0.002924
0,0.002932,0.002925
0,0.002930,0.002927
0,0.002929,0.002929
0,0.002927,0.002930
0,0.002925,0.002932
0,0.002923,0.002934
0,0.002922,0.002935
0,0.002920,0.002937
0,0.002918,0.002939
0,0.002917,0.002940
0,0.002915,0.002942
0,0.002913,0.002944
0,0.002912,0.002945
0,0.002910,0.002947
0,0.002908,0.002949
0,0.002907,0.002950
0,0.002905,0.002952
0,0.002903,0.002954
0,0.002901,0.002955
0,0.002900,0.002957
0,0.002898,0.002959
0,0.002896,0.002960
0,0.002895,0.002962
0,0.002893,0.002964
0,0.002891,0.002965
0,0.002889,0.002967
0,0.002888,0.002969
0,0.002886,0.002970
0,0.002884,0.002972
0,0.002883,0.002974
0,0.002881,0.002975
0,0.002879,0.002977
0,0.002877,0.002979
0,0.002876,0.002980
0,0.002874,0.002982
0,0.002872,0.002984
0,0.002870,0.002985
0,0.002869,0.002987
